"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SRSF4",1.3052964232606e-15,0.259076248911373,0.31,0.09,5.65219457200307e-11
"FAM185A",1.33292008613081e-15,0.301657548186499,0.213,0.031,5.77181055696364e-11
"TIAM2",1.34966746790621e-15,0.422217258004649,0.267,0.065,5.84433006952746e-11
"CAPN2",1.4583470899892e-15,0.375472884071268,0.233,0.045,6.31493456907123e-11
"VLDLR-AS1",1.53762786213569e-15,0.384931041349043,0.263,0.062,6.65823616861996e-11
"CREM",1.5951683920902e-15,0.384703610442174,0.231,0.042,6.90739817142899e-11
"ANGEL2",1.60682700079786e-15,0.279219480530448,0.276,0.067,6.95788227885488e-11
"RPL27A",1.69968165896113e-15,-1.41755903611699,0.129,0.256,7.35996151963347e-11
"SEPT10",1.70150794271386e-15,0.261544604045276,0.307,0.087,7.36786969353957e-11
"PARP14",1.83884461467067e-15,0.621843847925776,0.171,0.008,7.96256495044694e-11
"MAP7",1.83915560386008e-15,0.320382748176451,0.954,0.646,7.96391159583491e-11
"DPYD-AS1",1.91610126386215e-15,0.414380401794639,0.243,0.051,8.29710169277586e-11
"MTOR",1.94265194988908e-15,0.337158805885442,0.233,0.042,8.41207147340970e-11
"FLNB",1.97776810525273e-15,0.372527420156805,0.263,0.062,8.56413144936539e-11
"HCG17",1.98285282521968e-15,0.408403117830382,0.231,0.042,8.58614930376625e-11
"KCTD20",2.04484273069801e-15,0.266797904878969,0.203,0.025,8.85457799246853e-11
"RBAK-RBAKDN",2.06579160332218e-15,0.391298144078955,0.253,0.056,8.9452908007057e-11
"KIAA1109",2.14213520384123e-15,-0.299363811936635,0.565,0.228,9.27587385967328e-11
"HEPH",2.17445522271305e-15,0.463142305799939,0.194,0.022,9.41582600539205e-11
"TTC27",2.21220061678398e-15,0.38229580431571,0.26,0.059,9.57927111079799e-11
"RNF114",2.24296943936427e-15,0.286828828589305,0.238,0.048,9.71250626633514e-11
"ATG10",2.48974546744095e-15,0.334242419086502,0.264,0.065,1.07810958231128e-10
"NUP50-DT",2.57380434322345e-15,0.356636233509087,0.164,0.006,1.11450875670262e-10
