"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"C8orf34",2.649444489825e-150,1.89829221461981,0.537,0.177,1.14726245298402e-145,"11"
"TTN",4.35744703714713e-141,2.13473581356705,0.463,0.15,1.88686171602545e-136,"11"
"STXBP5L",5.98624863311792e-139,2.015463422328,0.467,0.155,2.59216538311272e-134,"11"
"RPS18",0,4.17243217358995,0.619,0.115,0,"12"
"RPL32",0,4.04197043911223,0.911,0.202,0,"12"
"RPLP2",0,3.95664280917246,0.685,0.162,0,"12"
"RPL19",0,3.94274076540771,0.951,0.194,0,"12"
"RPS27",0,3.90737101442268,0.644,0.164,0,"12"
"RPS14",0,3.88279552196512,0.688,0.156,0,"12"
"RPS27A",0,3.86875782937385,0.861,0.178,0,"12"
"RPL11",0,3.78508909759019,0.76,0.185,0,"12"
"RPL34",0,3.73207040543687,0.617,0.137,0,"12"
"RPS12",3.18095037857527e-275,3.93069864670098,0.548,0.126,1.37741513293066e-270,"12"
"THEMIS",0,4.20117231673252,0.638,0.005,0,"13"
"SKAP1",0,4.1951856599913,0.71,0.007,0,"13"
"CAMK4",0,4.07437575904312,0.635,0.055,0,"13"
"PARP8",0,3.80052392057705,0.741,0.217,0,"13"
"IL7R",0,3.38321676171011,0.421,0.002,0,"13"
"BCL11B",0,3.29671181404539,0.559,0.005,0,"13"
"STAT4",0,3.26931316443876,0.54,0.012,0,"13"
"CD96",0,3.20856602285458,0.502,0.008,0,"13"
"CCL5",0,3.1487821761703,0.404,0.003,0,"13"
"CBLB",2.2895090053765e-292,3.40283708185601,0.696,0.188,9.91403189508134e-288,"13"
"CACNA2D3",0,2.69240021638156,0.802,0.153,0,"14"
"SLC24A4",0,2.24593975522075,0.724,0.088,0,"14"
"TNC",5.43681452717012e-308,2.08122028310838,0.784,0.133,2.35424942655521e-303,"14"
"AC073941.1",7.98717288076021e-288,2.04382014689821,0.842,0.166,3.45860560082678e-283,"14"
"TRPM3",4.91513071318067e-264,2.23449828294876,0.967,0.284,2.12834990142149e-259,"14"
"ALDH1A1",3.51786679576015e-256,1.98874097849321,0.707,0.13,1.52330667990006e-251,"14"
"LINC00609",5.30290409544437e-234,2.18880677757192,0.915,0.259,2.29626353140932e-229,"14"
"KCNN3",2.55419014213215e-221,2.32464740711533,0.905,0.277,1.10601541534606e-216,"14"
"RNF219-AS1",1.60294873826139e-214,1.97985051264327,0.867,0.23,6.94108862641947e-210,"14"
"DPP10",3.31087502222313e-207,2.04815767085986,0.997,0.408,1.43367510212306e-202,"14"
"PPARG",0,2.21292045870411,0.711,0.091,0,"15"
"WIPF3",2.04875166731218e-299,2.19381803836439,0.573,0.07,8.87150446979519e-295,"15"
"GLDN",4.50158512686166e-295,3.14986906524242,0.727,0.116,1.94927639163364e-290,"15"
"TPRG1",9.81802573911465e-268,2.68369532499071,0.531,0.067,4.25140150555143e-263,"15"
"AC074327.1",2.20562246454174e-238,2.4541465744916,0.83,0.187,9.55078639595865e-234,"15"
"DISC1",2.14427074007426e-182,2.0659601680702,0.822,0.217,9.28512115866955e-178,"15"
"ZNF804A",1.55191719748962e-159,2.17400082845014,0.451,0.077,6.72011184856956e-155,"15"
"SPP1",1.6762273557646e-143,3.16415932611532,0.828,0.304,7.25839969593187e-139,"15"
"SERPINE1",1.09645726594779e-134,2.0317993678672,0.313,0.042,4.74787925300713e-130,"15"
"ATP2C1",1.66058882356228e-74,2.13673637966278,0.735,0.357,7.19068172378936e-70,"15"
"CHI3L1",0,2.73968737600843,0.909,0.122,0,"16"
"GNA14",0,1.94937653141355,0.904,0.162,0,"16"
"BAALC-AS1",0,1.88900609340503,0.794,0.115,0,"16"
"AC008957.2",0,1.77431668539881,0.834,0.107,0,"16"
"ZNF98",0,1.73853721133961,0.882,0.151,0,"16"
"F3",8.73600172289847e-303,1.94366007190255,0.984,0.211,3.78286346604949e-298,"16"
"CACNB2",1.63097811512737e-262,2.12388297261138,0.979,0.257,7.06246143412455e-258,"16"
"GPC5",1.6678229921578e-252,2.3055792649634,0.976,0.276,7.22200712064172e-248,"16"
"AC092691.1",1.48371743495089e-216,2.01081905535081,0.965,0.297,6.42479323682437e-212,"16"
"ZNRF3",1.63867526664841e-183,1.72654798697718,0.968,0.327,7.09579163964096e-179,"16"
"FMN1",0,2.87631760155901,0.968,0.188,0,"17"
"CD163",0,2.50970281411376,0.682,0.069,0,"17"
"MRC1",0,2.40913226982169,0.668,0.046,0,"17"
