"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"TANC1",8.44648955359833e-23,-0.466863652598983,0.113,0.224,3.65749890649915e-18,"4"
"TRIM25",8.9708109567627e-23,0.401085978570616,0.129,0.063,3.88454056049739e-18,"4"
"ZDHHC7",9.38948211454648e-23,0.42681746134697,0.156,0.083,4.06583354524092e-18,"4"
"NRIP1",9.44419574429253e-23,0.30186267356494,0.261,0.162,4.08952564119355e-18,"4"
"SEPT8",1.06139708772976e-22,-0.297944702050778,0.026,0.108,4.59606166928741e-18,"4"
"FAM102A",1.1027499910281e-22,-0.438491351423331,0.031,0.115,4.77512801114987e-18,"4"
"MTDH",1.13011324089361e-22,0.393037618895622,0.398,0.29,4.8936163557175e-18,"4"
"ARL5A",1.15332252732216e-22,0.356981199364284,0.265,0.167,4.99411720781043e-18,"4"
"CHCHD3",1.23062653890384e-22,0.421922566156154,0.383,0.278,5.32885903876141e-18,"4"
"SUN1",1.25957289192192e-22,-0.525415029641762,0.091,0.197,5.45420253660032e-18,"4"
"ALOX12-AS1",1.36224025754217e-22,-0.525205302547611,0.094,0.197,5.89877276320912e-18,"4"
"NCOA7",1.47986183768463e-22,0.295975259508957,0.255,0.159,6.40809772954198e-18,"4"
"RPL30",1.59137240950178e-22,0.400361079390473,0.245,0.151,6.89096080762459e-18,"4"
"SMOX",1.72378950142319e-22,-0.386596654367174,0.024,0.104,7.4643532990627e-18,"4"
"PYGB",1.76879236649737e-22,-0.501557272601067,0.049,0.139,7.65922470540691e-18,"4"
"SERPING1",1.86203982056416e-22,0.343664272507448,0.157,0.085,8.06300483100692e-18,"4"
"EPHB1",1.90059725891095e-22,-0.498537368920115,0.078,0.18,8.22996625053621e-18,"4"
"RCOR1",2.00398219239606e-22,0.386993982969733,0.253,0.159,8.67764368951342e-18,"4"
"ARL6IP4",2.13613118405154e-22,0.632522855901812,0.205,0.121,9.24987525317997e-18,"4"
"PLAGL1",2.21531171491599e-22,0.303064237567079,0.189,0.106,9.59274278792924e-18,"4"
"TFEB",2.2916334182934e-22,0.311754727371289,0.175,0.097,9.92323102789407e-18,"4"
"LMBRD1",2.40057325962988e-22,0.440430406980625,0.369,0.262,1.03949623288493e-17,"4"
"SEC11A",2.46324815509948e-22,0.646339992198796,0.214,0.13,1.06663571612118e-17,"4"
"PARVB",2.49829619896799e-22,0.393356213129372,0.128,0.063,1.08181222007712e-17,"4"
"CCNL1",2.54789410973021e-22,0.281947486052086,0.315,0.207,1.10328910739537e-17,"4"
"BCL2",2.75865544361895e-22,-0.621111184072948,0.316,0.435,1.19455298019588e-17,"4"
"MKRN1",2.77848557371166e-22,0.568224830611044,0.118,0.056,1.20313982312862e-17,"4"
"AC053527.1",2.78167333213334e-22,-0.415428420727069,0.072,0.171,1.20452018628038e-17,"4"
"KAT6A",3.31831733445318e-22,0.322028724111981,0.414,0.306,1.43689777216492e-17,"4"
"TTC28",3.51977869222024e-22,-0.558142342337891,0.282,0.4,1.52413456930521e-17,"4"
"NLGN4Y",3.67335851468457e-22,-0.460825833753083,0.03,0.111,1.59063770402871e-17,"4"
"C3orf70",3.72432753552687e-22,-0.401532851307247,0.046,0.135,1.61270830943384e-17,"4"
"AC098829.1",3.85127839544249e-22,-0.549766842839198,0.028,0.107,1.66768057079451e-17,"4"
