"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"VWF",0,3.44668737205574,0.585,0.015,0,"16"
"ROBO2",0,3.335995638915,0.693,0.149,0,"17"
"ASIC2",0,3.12487875693641,0.533,0.088,0,"17"
"KIAA1217",0,2.99614976874768,0.663,0.099,0,"17"
"RALYL",0,2.76916157754338,0.702,0.12,0,"17"
"HS3ST4",0,2.72935382194735,0.656,0.096,0,"17"
"NRG1",0,2.63357857040234,0.479,0.06,0,"17"
"MDGA2",0,2.4471132193854,0.675,0.173,0,"17"
"FRMPD4",0,2.36350152086421,0.623,0.101,0,"17"
"CSMD1",0,2.36000741805388,0.728,0.233,0,"17"
"MEG3",0,2.34904141502889,0.817,0.208,0,"17"
"SLC1A2",0,4.30609428609927,0.996,0.17,0,"18"
"GPC5",0,4.11040503480761,0.835,0.144,0,"18"
"ADGRV1",0,3.68913925139731,0.959,0.109,0,"18"
"HPSE2",0,3.62470068451321,0.726,0.034,0,"18"
"RNF219-AS1",0,3.40634113745547,0.743,0.039,0,"18"
"CTNNA2",0,3.29613057330661,0.842,0.23,0,"18"
"SLC4A4",0,3.28671703994351,0.85,0.063,0,"18"
"ZNF98",0,3.212249027981,0.659,0.033,0,"18"
"NKAIN3",0,3.1701296486171,0.768,0.088,0,"18"
"TRPM3",0,3.16783848449629,0.783,0.104,0,"18"
"PLOD2",0,4.45913586327392,0.705,0.075,0,"19"
"FAM189A2",0,3.6937938987193,0.651,0.055,0,"19"
"CD44",0,3.65204052453815,0.81,0.053,0,"19"
"ABCA1",0,3.42923789073413,0.632,0.1,0,"19"
"GLIS3",0,3.41138636581339,0.806,0.109,0,"19"
"NAMPT",0,3.34262926249576,0.686,0.122,0,"19"
"CNN3",0,3.33484137272754,0.746,0.117,0,"19"
"CHI3L1",0,3.29084301535543,0.37,0.027,0,"19"
"WWC1",0,3.20853452023986,0.647,0.063,0,"19"
"SAMD4A",0,3.17723672116079,0.777,0.21,0,"19"
"P4HA1",0,4.14160008049797,0.917,0.215,0,"20"
"SAMSN1",0,3.91051775773224,0.856,0.028,0,"20"
"CD83",0,3.87882916909213,0.732,0.021,0,"20"
"ACSL1",0,3.72152408236758,0.921,0.2,0,"20"
"RAPGEF1",0,3.62120949281111,0.907,0.163,0,"20"
"HIF1A",0,3.44736365150843,0.867,0.158,0,"20"
"GNA13",0,3.40252171244697,0.869,0.13,0,"20"
"FAM13A",0,3.35905205203333,0.816,0.146,0,"20"
"APBB1IP",0,3.24754630186223,0.805,0.044,0,"20"
"ADAM28",0,3.15973483586322,0.823,0.036,0,"20"
"KIT",0,3.56967819348818,0.776,0.016,0,"21"
"GAD2",0,3.39735417481784,0.841,0.028,0,"21"
"FGF13",0,3.25356779584664,0.676,0.041,0,"21"
"CXCL14",0,3.20514231385391,0.561,0.024,0,"21"
"GRIP1",0,3.09750468457071,0.554,0.089,0,"21"
"ADARB2",0,3.07291272750167,0.699,0.311,0,"21"
"RELN",0,3.04636855057357,0.339,0.071,0,"21"
"SLC6A1",0,3.04205913810132,0.929,0.257,0,"21"
"GRIK1",0,2.94554114804338,0.754,0.072,0,"21"
"PTPRT",0,2.93463929283368,0.759,0.086,0,"21"
"PARP8",0,3.86467052906263,0.541,0.105,0,"22"
"SKAP1",0,3.71762762955744,0.521,0.004,0,"22"
"THEMIS",0,3.50138728472452,0.453,0.031,0,"22"
"PTPRC",0,3.49912292566788,0.614,0.046,0,"22"
"CAMK4",0,3.31698546763609,0.459,0.088,0,"22"
"RPL3",5.19088024634964e-254,3.77718352905415,0.504,0.147,2.24775496427432e-249,"22"
"RPS2",2.63788905810696e-234,3.70236399305584,0.566,0.203,1.14225871994148e-229,"22"
"RPS18",2.09239800963749e-161,3.52458786383945,0.412,0.137,9.06050186133226e-157,"22"
"RPS6",1.35338841190549e-140,3.51829560047539,0.478,0.201,5.86044250123314e-136,"22"
"RPS4X",7.72388804351718e-104,3.70416830658351,0.381,0.159,3.34459800060381e-99,"22"
"CFAP299",0,5.80911725691511,0.971,0.014,0,"23"
"DNAH9",0,4.87150176961889,0.966,0.037,0,"23"
"CFAP54",0,4.80388720530346,0.976,0.057,0,"23"
"DNAH11",0,4.43890002898265,0.941,0.026,0,"23"
"DCDC1",0,4.27903644942222,0.94,0.025,0,"23"
"TMEM232",0,4.25180217248229,0.968,0.147,0,"23"
"SPAG17",0,4.23091282155424,0.959,0.008,0,"23"
"CFAP47",0,4.20319067648015,0.922,0.028,0,"23"
"CFAP43",0,4.1704444238284,0.96,0.042,0,"23"
"DNAH7",0,3.95343132467382,0.947,0.063,0,"23"
"KCNIP4",0,3.09767878797877,0.821,0.25,0,"24"
"AC011287.1",5.73794722058115e-261,3.27319949997416,0.256,0.031,2.48464590545605e-256,"24"
"RBFOX1",9.85755706820745e-254,2.86989083522149,0.776,0.279,4.26851936167519e-249,"24"
"NRG1",1.07128929013595e-251,2.94723200114629,0.376,0.065,4.6388968841467e-247,"24"
"CNTN5",8.40140827597624e-241,3.50434071373803,0.472,0.104,3.63797781166323e-236,"24"
"RALYL",1.62957025667719e-222,2.86612280042396,0.516,0.127,7.05636512546359e-218,"24"
"DLGAP2",1.35510209592946e-204,3.16701300864361,0.416,0.093,5.86786309579377e-200,"24"
"FSTL4",1.607052317376e-138,3.13498208608051,0.256,0.051,6.95885794470156e-134,"24"
"TRPM3",2.99757105797651e-122,3.23784108163671,0.373,0.111,1.29800821952499e-117,"24"
"FAM19A1",1.66604820515245e-102,2.97885781673874,0.268,0.069,7.21432193795116e-98,"24"
"CEMIP",0,5.39207812872249,0.792,0.045,0,"25"
"LAMA2",0,4.88665100369054,0.89,0.16,0,"25"
"LINC01088",0,4.04676178306014,0.807,0.063,0,"25"
"DCN",0,3.9356551317936,0.779,0.014,0,"25"
"ABCA9",0,3.83263609668769,0.835,0.095,0,"25"
"BICC1",0,3.77612783150855,0.754,0.053,0,"25"
"AC092957.1",0,3.74951608960917,0.674,0.007,0,"25"
"USP53",0,3.72240278017937,0.697,0.083,0,"25"
"FBLN1",0,3.70512791048249,0.718,0.014,0,"25"
"SVIL",0,3.64458555082284,0.746,0.037,0,"25"
