"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"PRR5L",0,0.578370588209033,0.376,0.261,0,"0"
"SIK3",0,0.570731158565267,0.729,0.643,0,"0"
"DST",0,0.563265698297654,0.844,0.8,0,"0"
"QKI",0,0.557708018123361,0.876,0.737,0,"0"
"GPM6B",0,0.556832302464968,0.83,0.718,0,"0"
"PLP1",0,0.552698002129858,0.93,0.604,0,"0"
"DLG2",0,0.532450142755918,0.781,0.71,0,"0"
"PDE8A",0,0.529546365296846,0.637,0.515,0,"0"
"TCF12",0,0.52768512431683,0.663,0.582,0,"0"
"DPYD",0,0.510307175970493,0.658,0.532,0,"0"
"PTPRD",0,0.499584866059156,0.794,0.677,0,"0"
"CLASP2",0,0.46226368480346,0.733,0.68,0,"0"
"ZBTB20",0,0.396518063925054,0.75,0.675,0,"0"
"FMNL2",0,0.314594827726719,0.723,0.662,0,"0"
"ASPA",1.93988129349687e-306,0.682316155994178,0.372,0.259,8.40007397710016e-302,"0"
"COLGALT2",3.05824875712837e-306,0.652967239582054,0.464,0.361,1.32428287681173e-301,"0"
"PLOD3",4.1506875130814e-306,0.574340764369326,0.256,0.158,1.79733070691451e-301,"0"
"MYO1D",1.91492851115185e-301,0.607716440437303,0.494,0.384,8.29202343898973e-297,"0"
"RHOBTB1",1.04203764758458e-300,0.668335684261226,0.281,0.184,4.51223142157075e-296,"0"
"POLR2F",9.17429510666684e-300,0.754511915685263,0.475,0.369,3.97265326708888e-295,"0"
"TJP1",7.04340421990082e-297,0.511674621108273,0.629,0.566,3.04993489530145e-292,"0"
"COL4A5",8.53059523999054e-295,0.554028664619259,0.488,0.367,3.69391835082071e-290,"0"
"ATG4C",1.36423398963663e-292,0.622274213862013,0.455,0.358,5.90740602192453e-288,"0"
"ZNF365",1.02970177685726e-286,0.809067327376634,0.342,0.248,4.4588146341473e-282,"0"
"SEPT7",1.13116457442693e-278,0.439136976151226,0.637,0.549,4.8981688401835e-274,"0"
"LRRC1",7.29586736797638e-277,0.59489399019411,0.419,0.319,3.15925648768113e-272,"0"
"RNF130",4.70700575780601e-276,0.544342781389089,0.595,0.539,2.03822763324516e-271,"0"
"PSEN1",5.56567330542851e-270,0.607619346103775,0.484,0.389,2.41004785471665e-265,"0"
"PTPN13",2.44723490051084e-266,0.657959350714685,0.451,0.367,1.0597016566192e-261,"0"
"ANK2",6.06241809859641e-266,0.397646743287908,0.729,0.718,2.62514828505422e-261,"0"
"PTK2",2.53865893397762e-259,0.446330949613432,0.669,0.624,1.09929009159099e-254,"0"
"NAIP",2.4636492739052e-255,0.591722042485327,0.391,0.299,1.06680940858643e-250,"0"
"ANKIB1",1.29661079862666e-253,0.573438367834018,0.555,0.494,5.61458408021314e-249,"0"
"SGK3",8.71788546993577e-250,0.622302031977006,0.481,0.408,3.77501876619159e-245,"0"
"ZNF704",1.23732744873332e-249,0.660672976902838,0.473,0.397,5.35787531850504e-245,"0"
"ARHGAP21",2.49342048724882e-249,0.406960985926016,0.693,0.652,1.07970093938848e-244,"0"
"C1QTNF3-AMACR",4.74827886011743e-249,0.580351751505749,0.418,0.327,2.05609971200805e-244,"0"
"NCOA7",9.52221600679311e-248,0.586419716919572,0.535,0.467,4.12330997526155e-243,"0"
"PTBP2",6.21154974716281e-247,0.562370493956556,0.54,0.473,2.68972527151644e-242,"0"
"JAM3",2.37980855965394e-244,0.552528304848732,0.497,0.409,1.03050470250135e-239,"0"
"CDC42BPA",2.89455514056979e-244,0.492304083849357,0.625,0.595,1.25340026696953e-239,"0"
"ZCCHC24",4.26865913066276e-244,0.632824970248519,0.386,0.292,1.84841477675959e-239,"0"
"PICALM",3.67891491689793e-242,0.509596333446064,0.567,0.529,1.59304373731514e-237,"0"
"LURAP1L-AS1",9.16377855852281e-242,0.715790079623978,0.299,0.206,3.96809939141154e-237,"0"
"ZNF638",2.98809194067558e-241,0.464791742460834,0.663,0.652,1.29390357215134e-236,"0"
"NT5DC1",7.17392002466447e-241,0.619783254299118,0.406,0.316,3.10645084908021e-236,"0"
"MYO6",1.24927779855906e-240,0.583640444635001,0.547,0.489,5.40962272332045e-236,"0"
"RNF144A",1.17025545258485e-238,0.620499762906389,0.458,0.385,5.06744016078291e-234,"0"
"SH3TC2",1.54410106804978e-234,0.561200202082182,0.36,0.261,6.68626644486914e-230,"0"
"ZHX2",1.4742006279861e-231,0.59378717769887,0.443,0.367,6.3835835593054e-227,"0"
"ATP11A",1.41809669853719e-230,0.565417371845701,0.445,0.369,6.14064232400572e-226,"0"
"SLC22A23",2.40001199808612e-229,0.522201617665921,0.489,0.405,1.03925319541125e-224,"0"
"FAM124A",3.75204996871626e-229,0.570683344171723,0.376,0.281,1.62471267745352e-224,"0"
"LINC00609",1.90456194338677e-228,0.396609026169863,0.497,0.384,8.24713412725337e-224,"0"
"PKP4",4.13911074028055e-227,0.547404329461989,0.534,0.466,1.79231773275628e-222,"0"
"HSPA4L",1.29174153999986e-225,0.749145673523285,0.251,0.172,5.59349921650741e-221,"0"
"MFAP3L",3.99704264242021e-225,0.587799985401408,0.286,0.202,1.7307994050208e-220,"0"
"FGF1",7.20611252058462e-225,0.620222939028376,0.31,0.224,3.12039084366355e-220,"0"
"MAPT",3.65341428634552e-223,0.597737768107095,0.556,0.52,1.58200145427334e-218,"0"
"GNAI1",1.05014325720886e-222,0.589524765667208,0.454,0.366,4.54733033236582e-218,"0"
"CTTNBP2",3.09664040155778e-222,0.633839645267219,0.432,0.366,1.34090722668255e-217,"0"
"ITGA2",4.75698400045991e-218,0.555863845928524,0.338,0.244,2.05986921187915e-213,"0"
"MICAL3",6.90472391639348e-216,0.599428608142246,0.479,0.417,2.98988355027671e-211,"0"
"AUTS2",1.38632851985841e-214,0.498974616633216,0.628,0.599,6.00307975669089e-210,"0"
