"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FOXP2",1.52003346288003e-107,1.0259880461211,0.572,0.363,3.04006692576006e-104,"23","FOXP2"
"KLF65",7.38908733092195e-107,0.736708242661922,0.665,0.446,1.47781746618439e-103,"23","KLF6"
"KCNIP13",2.69026906230831e-106,0.503648858748624,0.52,0.244,5.38053812461661e-103,"23","KCNIP1"
"PLCL23",5.74439306135117e-106,0.845521395356029,0.523,0.259,1.14887861227024e-102,"23","PLCL2"
"FGFR17",7.15905902802142e-105,0.37006907511931,0.668,0.46,1.43181180560428e-101,"23","FGFR1"
"PTPRG3",1.08494733019526e-103,0.513464599679463,0.603,0.36,2.16989466039051e-100,"23","PTPRG"
"LRP13",1.26131657212835e-103,0.687862136025583,0.524,0.234,2.5226331442567e-100,"23","LRP1"
"PPARG",3.39357891625454e-103,0.818898382900608,0.479,0.195,6.78715783250907e-100,"23","PPARG"
"LINC01141",3.61361768299998e-103,0.616235085691114,0.445,0.215,7.22723536599996e-100,"23","LINC01141"
"DIRC33",5.79611478843429e-103,0.437158656086752,0.508,0.287,1.15922295768686e-99,"23","DIRC3"
"SLC2A133",1.82395109046257e-102,0.55662531393336,0.627,0.406,3.64790218092514e-99,"23","SLC2A13"
"MIS18BP1",8.78350127739227e-102,1.23716350605574,0.547,0.269,1.75670025547845e-98,"23","MIS18BP1"
"PPP1R15A5",9.51667286963536e-101,0.526757936990928,0.616,0.415,1.90333457392707e-97,"23","PPP1R15A"
"LRRK23",2.53420989262629e-100,0.607116310308909,0.494,0.228,5.06841978525257e-97,"23","LRRK2"
"NCF1",4.13362393940627e-100,0.389612953581116,0.466,0.223,8.26724787881254e-97,"23","NCF1"
"KHDRBS33",3.43682060717356e-99,0.687948300316993,0.683,0.405,6.87364121434712e-96,"23","KHDRBS3"
"TBC1D42",4.63071904992045e-99,0.914158507778267,0.549,0.353,9.26143809984091e-96,"23","TBC1D4"
"FLT1",9.02648366292122e-99,0.608749383544354,0.493,0.308,1.80529673258424e-95,"23","FLT1"
"PCSK53",7.92316337809026e-98,0.564823106206469,0.618,0.423,1.58463267561805e-94,"23","PCSK5"
"ENTPD1",1.60565977668234e-96,1.37952660588282,0.537,0.305,3.21131955336468e-93,"23","ENTPD1"
"GRAMD1B3",2.53830127843643e-96,0.562748703380265,0.517,0.268,5.07660255687285e-93,"23","GRAMD1B"
"HLA-B4",1.27890190508645e-95,1.18582279480518,0.547,0.286,2.5578038101729e-92,"23","HLA-B"
"LILRB1",1.21076979186117e-94,0.607046504116456,0.409,0.151,2.42153958372235e-91,"23","LILRB1"
"GLIS32",6.534929774229e-94,0.552792713756551,0.576,0.394,1.3069859548458e-90,"23","GLIS3"
"OLR1",2.65014541314355e-93,1.21463845742412,0.435,0.101,5.3002908262871e-90,"23","OLR1"
"NOP585",3.26381695349214e-92,0.48728358256049,0.73,0.518,6.52763390698427e-89,"23","NOP58"
"IFNLR1",3.98677143734053e-92,0.378016617658783,0.427,0.194,7.97354287468106e-89,"23","IFNLR1"
"SLC2A34",2.43247380354451e-90,1.11300848788818,0.558,0.352,4.86494760708902e-87,"23","SLC2A3"
"CACNA1A3",5.41325545043169e-90,0.257213767322685,0.634,0.419,1.08265109008634e-86,"23","CACNA1A"
"ITPR12",7.98932977608021e-90,0.860821465239502,0.561,0.344,1.59786595521604e-86,"23","ITPR1"
"EPSTI1",1.11725422880109e-88,0.680764669412772,0.429,0.14,2.23450845760219e-85,"23","EPSTI1"
"HSPH15",2.80383804254304e-87,0.643758267418634,0.854,0.691,5.60767608508608e-84,"23","HSPH1"
"LIMD15",9.44491632433006e-87,0.384018118971574,0.609,0.398,1.88898326486601e-83,"23","LIMD1"
"ARHGAP25",1.55048968842731e-84,0.940296640465694,0.454,0.196,3.10097937685462e-81,"23","ARHGAP25"
"TENT5A3",1.94436018206417e-83,0.373091867390293,0.5,0.279,3.88872036412833e-80,"23","TENT5A"
"RAMP13",4.44460077251321e-82,0.330251041403172,0.55,0.337,8.88920154502642e-79,"23","RAMP1"
"SH3TC1",2.28457740404663e-81,0.803705879112984,0.432,0.101,4.56915480809325e-78,"23","SH3TC1"
"IRF8",1.04607914980583e-80,0.704447091129789,0.38,0.094,2.09215829961167e-77,"23","IRF8"
"JUNB3",1.22018169423045e-80,0.628370258202809,0.505,0.302,2.4403633884609e-77,"23","JUNB"
"BLNK",6.49621641790934e-80,1.11603115667131,0.453,0.213,1.29924328358187e-76,"23","BLNK"
"IL18",3.21491044905185e-79,0.870998948634913,0.491,0.287,6.42982089810371e-76,"23","IL18"
"ARL152",7.83977528930981e-79,0.802037028769373,0.68,0.485,1.56795505786196e-75,"23","ARL15"
"MARCH33",1.28056266032131e-78,0.683143060963488,0.549,0.366,2.56112532064262e-75,"23","MARCH3"
"MS4A4A",2.95916948358052e-77,0.368778502555597,0.368,0.121,5.91833896716104e-74,"23","MS4A4A"
"TBC1D13",3.18646063339302e-77,0.945754885716754,0.533,0.32,6.37292126678604e-74,"23","TBC1D1"
"B2M6",2.54585421814909e-76,0.802825845979267,0.768,0.543,5.09170843629818e-73,"23","B2M"
"CERS64",1.25065324318627e-74,0.64552658322282,0.587,0.394,2.50130648637254e-71,"23","CERS6"
"DNAJB16",2.10776256330635e-74,0.545840603828752,0.79,0.618,4.21552512661269e-71,"23","DNAJB1"
"COL27A13",1.29271841977632e-73,0.303572830188382,0.445,0.213,2.58543683955264e-70,"23","COL27A1"
"CEBPD1",1.86172701874053e-72,1.13766749561817,0.565,0.395,3.72345403748105e-69,"23","CEBPD"
"AC068992.1",1.13120449094064e-70,0.293194684718838,0.4,0.17,2.26240898188127e-67,"23","AC068992.1"
"EYA21",1.57983939993502e-70,0.300980825227891,0.474,0.302,3.15967879987005e-67,"23","EYA2"
"TMSB4X3",1.87017567599172e-70,1.02210768692413,0.659,0.414,3.74035135198345e-67,"23","TMSB4X"
"MCTP13",3.49100520555587e-70,0.253968025943092,0.514,0.338,6.98201041111175e-67,"23","MCTP1"
"GFAP5",4.44589896677351e-70,0.932231010738778,0.642,0.511,8.89179793354702e-67,"23","GFAP"
"RGS16",8.32120920264746e-70,0.596720256072292,0.426,0.198,1.66424184052949e-66,"23","RGS16"
"CD441",1.02868158847342e-69,0.426953344547618,0.513,0.34,2.05736317694685e-66,"23","CD44"
"APOE1",1.03407516203101e-68,1.60560214187102,0.531,0.306,2.06815032406203e-65,"23","APOE"
"FARP13",2.39930686365043e-68,0.504553597476949,0.493,0.296,4.79861372730086e-65,"23","FARP1"
"UBASH3B3",4.0941910815287e-68,0.454418691386235,0.475,0.278,8.1883821630574e-65,"23","UBASH3B"
"CLEC7A",5.36771306411579e-68,0.677268743493112,0.399,0.114,1.07354261282316e-64,"23","CLEC7A"
"CSF2RA",5.26976290594284e-67,1.12933282266234,0.468,0.237,1.05395258118857e-63,"23","CSF2RA"
"ABCA13",7.00753962449527e-66,0.583781481726715,0.523,0.325,1.40150792489905e-62,"23","ABCA1"
"SCIN",2.41847495131076e-64,1.16870698417155,0.491,0.252,4.83694990262151e-61,"23","SCIN"
"HLA-A5",5.17518926294041e-64,0.827454374398138,0.524,0.285,1.03503785258808e-60,"23","HLA-A"
"SUFU1",5.49898469497397e-64,0.384406970657544,0.575,0.412,1.09979693899479e-60,"23","SUFU"
"RASSF82",1.33915731949618e-63,0.92758361422457,0.609,0.414,2.67831463899236e-60,"23","RASSF8"
"HLA-DRB1",2.13679462255946e-63,0.987840452080023,0.434,0.175,4.27358924511892e-60,"23","HLA-DRB1"
"TENM45",7.7899722577452e-63,0.728882298450235,0.569,0.406,1.55799445154904e-59,"23","TENM4"
"HDAC93",1.77259942469774e-62,0.84687393973493,0.713,0.527,3.54519884939548e-59,"23","HDAC9"
"CST34",7.6667140669755e-62,0.599183673874945,0.492,0.274,1.5333428133951e-58,"23","CST3"
"HSP90AA17",1.91285529715359e-61,0.925823821269493,0.977,0.943,3.82571059430717e-58,"23","HSP90AA1"
"MPZL13",2.86760369483436e-61,0.602639135764201,0.484,0.285,5.73520738966871e-58,"23","MPZL1"
"FCHSD27",7.65468764083288e-61,0.608277519863985,0.823,0.616,1.53093752816658e-57,"23","FCHSD2"
"GPNMB3",2.55569016694975e-60,0.578602531350883,0.45,0.253,5.11138033389951e-57,"23","GPNMB"
"MTHFD1L5",2.86758852928975e-59,1.05699757113366,0.567,0.387,5.73517705857951e-56,"23","MTHFD1L"
"KLRD15",8.55912809095663e-59,0.271963981552396,0.62,0.467,1.71182561819133e-55,"23","KLRD1"
"VIM2",7.46448202619427e-58,0.517775181698577,0.528,0.383,1.49289640523885e-54,"23","VIM"
"MB21D22",1.21488805233201e-57,0.389392745756064,0.567,0.377,2.42977610466403e-54,"23","MB21D2"
"LPP4",1.42748737190358e-57,0.803581070030714,0.763,0.588,2.85497474380715e-54,"23","LPP"
"NUPR1",1.63899528823661e-57,0.478992992376288,0.421,0.222,3.27799057647321e-54,"23","NUPR1"
"NOTCH23",2.08458790492509e-56,0.493102275751965,0.547,0.387,4.16917580985018e-53,"23","NOTCH2"
"MAP3K13",3.43040636315231e-56,0.386402421668004,0.495,0.308,6.86081272630461e-53,"23","MAP3K1"
"FGD2",2.22699051481254e-54,1.08885171044943,0.43,0.182,4.45398102962507e-51,"23","FGD2"
"MX2",2.68100033771113e-54,0.35850062601246,0.399,0.197,5.36200067542225e-51,"23","MX2"
"ARHGAP313",3.47828646589261e-53,0.395382490326045,0.508,0.357,6.95657293178521e-50,"23","ARHGAP31"
"CARMIL1",5.35189269491541e-53,0.289440670802595,0.482,0.348,1.07037853898308e-49,"23","CARMIL1"
"BCL67",6.13120793086038e-53,0.304756099357803,0.704,0.522,1.22624158617208e-49,"23","BCL6"
"DLEU71",1.09009476244714e-52,0.315145076399667,0.484,0.341,2.18018952489429e-49,"23","DLEU7"
"ASAP15",4.43045811735431e-52,0.479315710593474,0.76,0.582,8.86091623470862e-49,"23","ASAP1"
"FAM107A1",5.37515527860666e-52,0.38143706691403,0.55,0.435,1.07503105572133e-48,"23","FAM107A"
"RHBDF2",6.34403458322302e-52,1.55464394720345,0.511,0.248,1.2688069166446e-48,"23","RHBDF2"
"CD99",1.62081438504459e-50,0.511037027548503,0.453,0.279,3.24162877008919e-47,"23","CD99"
"SLCO2B1",2.30087880745583e-50,1.74667767593492,0.486,0.248,4.60175761491165e-47,"23","SLCO2B1"
"CDC14A3",9.31908877772622e-50,0.434836198790303,0.51,0.363,1.86381775554524e-46,"23","CDC14A"
"PDGFC3",2.56856667048089e-49,0.352876254567791,0.484,0.304,5.13713334096178e-46,"23","PDGFC"
"RHOH",6.52859350806914e-49,0.281593623023922,0.393,0.173,1.30571870161383e-45,"23","RHOH"
"TRERF13",1.44203472408088e-48,0.44618848090302,0.415,0.209,2.88406944816176e-45,"23","TRERF1"
"IL1RAP3",3.47366362154374e-48,0.354309723366658,0.463,0.256,6.94732724308748e-45,"23","IL1RAP"
"HLA-E2",2.23962200560925e-47,0.9228870322656,0.461,0.263,4.4792440112185e-44,"23","HLA-E"
"SIPA1L24",7.21597237843383e-44,0.796123270506026,0.546,0.376,1.44319447568677e-40,"23","SIPA1L2"
"HSPA1A6",8.45445160892144e-44,0.669395220182853,0.908,0.81,1.69089032178429e-40,"23","HSPA1A"
"SMYD34",7.69663292279044e-43,0.598243706902436,0.658,0.504,1.53932658455809e-39,"23","SMYD3"
"IMMP2L1",1.8665909549079e-42,0.527851361287218,0.755,0.567,3.7331819098158e-39,"23","IMMP2L"
"SERPINB91",1.47320870123543e-40,0.780590117887444,0.496,0.344,2.94641740247087e-37,"23","SERPINB9"
"CSF1R",2.59586631135593e-40,1.51122320360167,0.432,0.163,5.19173262271187e-37,"23","CSF1R"
"CHSY32",1.59075695625192e-39,0.651656290529829,0.552,0.424,3.18151391250385e-36,"23","CHSY3"
"ARHGEF63",1.81131081243458e-38,0.570023038460058,0.489,0.366,3.62262162486916e-35,"23","ARHGEF6"
"HLA-DPA1",3.84178203914671e-37,0.847588232284251,0.448,0.299,7.68356407829343e-34,"23","HLA-DPA1"
"ETV53",1.81275126619873e-36,0.372852482464261,0.495,0.392,3.62550253239746e-33,"23","ETV5"
"DUSP13",8.8702211135922e-36,1.07571935116432,0.437,0.266,1.77404422271844e-32,"23","DUSP1"
"CTSC1",7.33739970443292e-35,0.918242895540655,0.412,0.208,1.46747994088658e-31,"23","CTSC"
"MT-ND24",7.31586165935624e-34,0.398587238051152,0.671,0.505,1.46317233187125e-30,"23","MT-ND2"
"FAR21",9.63490518185436e-33,0.684368787743497,0.493,0.37,1.92698103637087e-29,"23","FAR2"
"CABLES13",1.27596884228167e-32,0.270332088059541,0.362,0.176,2.55193768456335e-29,"23","CABLES1"
"PPM1L3",4.90828858302907e-32,0.252867046769105,0.491,0.354,9.81657716605815e-29,"23","PPM1L"
"MEF2C-AS13",1.19393060930886e-31,0.662942850821014,0.445,0.317,2.38786121861771e-28,"23","MEF2C-AS1"
"DTNA8",1.36390021153476e-31,0.445455358293072,0.725,0.6,2.72780042306951e-28,"23","DTNA"
"MT-CO15",1.6839238961002e-31,0.535438496380469,0.616,0.467,3.3678477922004e-28,"23","MT-CO1"
"BACH12",2.8902054988279e-31,0.671320182238096,0.522,0.37,5.7804109976558e-28,"23","BACH1"
"UST3",2.07375571838967e-30,0.260477540347122,0.549,0.434,4.14751143677933e-27,"23","UST"
"IGKC2",3.87137932245073e-29,0.263382313306233,0.545,0.436,7.74275864490146e-26,"23","IGKC"
"EIF2AK24",4.22766622906692e-29,0.260480571256832,0.461,0.313,8.45533245813384e-26,"23","EIF2AK2"
"AC008691.1",3.14763248084902e-28,0.377776853114425,0.406,0.305,6.29526496169804e-25,"23","AC008691.1"
"TFEC",4.01034609940325e-28,0.753382828502854,0.368,0.12,8.0206921988065e-25,"23","TFEC"
"MT-ATP66",4.96169517181047e-28,0.617392672059233,0.675,0.561,9.92339034362093e-25,"23","MT-ATP6"
"MT-ND12",6.52494662041917e-28,0.597907786425467,0.611,0.474,1.30498932408383e-24,"23","MT-ND1"
"TTTY146",9.58647367195186e-27,0.259584001779361,0.6,0.476,1.91729473439037e-23,"23","TTTY14"
"CD84",1.03063165770452e-26,0.608553032022963,0.384,0.225,2.06126331540903e-23,"23","CD84"
"MGAT56",1.95622306373414e-26,0.278712386241649,0.747,0.587,3.91244612746828e-23,"23","MGAT5"
"GPR183",7.77745237144095e-25,0.41242669381901,0.357,0.164,1.55549047428819e-21,"23","GPR183"
"TAOK33",1.30935993466527e-24,0.321424204366301,0.823,0.667,2.61871986933054e-21,"23","TAOK3"
"SESN36",2.22153397897753e-24,0.615083070198905,0.571,0.468,4.44306795795505e-21,"23","SESN3"
"ZFP36L12",3.6308995013067e-24,1.40574487659372,0.455,0.329,7.26179900261341e-21,"23","ZFP36L1"
"MT-CO35",5.04812009373251e-23,0.54385993248553,0.69,0.574,1.0096240187465e-19,"23","MT-CO3"
"TIAM16",1.03402166758408e-22,0.303821539650261,0.665,0.526,2.06804333516817e-19,"23","TIAM1"
"HLA-DRA",1.30499472051968e-22,1.38359555529469,0.448,0.312,2.60998944103935e-19,"23","HLA-DRA"
"MT-ND34",2.05084984790863e-22,0.51176116038151,0.666,0.554,4.10169969581725e-19,"23","MT-ND3"
"GLUL5",3.49894650432408e-22,0.478736061041442,0.644,0.52,6.99789300864816e-19,"23","GLUL"
"HLA-C3",9.95429863451935e-20,0.550790736674832,0.454,0.318,1.99085972690387e-16,"23","HLA-C"
